-----------------------------------------------------------------------------------------------------------------------
- Bench VeraCrypt
- Started at: 2022-11-08  8:49:35
- CPU: AMD FX(tm)-6300 Six-Core Processor
-----------------------------------------------------------------------------------------------------------------------
SIZE       | HASH       | ENCRYPTION ALGORITHM           | VOL CREATE TIME      | VOL FILL TIME        | SPEED (MB/sec)
100 MB     | Whirlpool  | Kuznyechik-Serpent-Camellia    |  0m8.097s            |  0m0.622s            | 75
100 MB     | Whirlpool  | Kuznyechik-Twofish             |  0m7.707s            |  0m0.570s            | 75
100 MB     | Whirlpool  | Serpent-AES                    |  0m7.802s            |  0m0.569s            | 75
100 MB     | Whirlpool  | Serpent-Twofish-AES            |  0m7.585s            |  0m0.574s            | 75
100 MB     | Whirlpool  | Twofish-Serpent                |  0m7.675s            |  0m0.567s            | 75
100 MB     | Streebog   | AES                            |  0m23.743s           |  0m0.586s            | 75
100 MB     | Streebog   | Camellia                       |  0m22.925s           |  0m0.541s            | 75
100 MB     | Streebog   | Kuznyechik                     |  0m23.054s           |  0m0.582s            | 75
100 MB     | Streebog   | Serpent                        |  0m22.874s           |  0m0.656s            | 75
100 MB     | Streebog   | Twofish                        |  0m22.924s           |  0m0.565s            | 75
100 MB     | Streebog   | AES-Twofish                    |  0m22.945s           |  0m0.646s            | 75
100 MB     | Streebog   | AES-Twofish-Serpent            |  0m24.559s           |  0m0.574s            | 75
100 MB     | Streebog   | Camellia-Kuznyechik            |  0m23.169s           |  0m0.575s            | 75
100 MB     | Streebog   | Camellia-Serpent               |  0m23.105s           |  0m0.588s            | 75
100 MB     | Streebog   | Kuznyechik-AES                 |  0m23.020s           |  0m0.576s            | 75
100 MB     | Streebog   | Kuznyechik-Serpent-Camellia    |  0m23.439s           |  0m0.557s            | 75
100 MB     | Streebog   | Kuznyechik-Twofish             |  0m23.434s           |  0m0.551s            | 75
100 MB     | Streebog   | Serpent-AES                    |  0m22.858s           |  0m0.567s            | 75
100 MB     | Streebog   | Serpent-Twofish-AES            |  0m23.717s           |  0m0.601s            | 75
100 MB     | Streebog   | Twofish-Serpent                |  0m23.501s           |  0m0.555s            | 75
200 MB     | SHA-256    | AES                            |  0m8.026s            |  0m1.316s            | 175
200 MB     | SHA-256    | Camellia                       |  0m7.886s            |  0m1.431s            | 175
200 MB     | SHA-256    | Kuznyechik                     |  0m8.913s            |  0m1.339s            | 175
200 MB     | SHA-256    | Serpent                        |  0m8.090s            |  0m1.331s            | 87
200 MB     | SHA-256    | Twofish                        |  0m7.966s            |  0m1.379s            | 175
200 MB     | SHA-256    | AES-Twofish                    |  0m7.701s            |  0m1.292s            | 175
